 Time, durationA, durationB, comment,,,,,,
오후 4:26:17,154,150,,,,,,,
오후 4:26:17,157,151,,,,,,,
오후 4:26:17,157,151,,,,,,,
오후 4:26:17,156,154,,,,,,,
오후 4:26:17,156,154,,,,,,,
오후 4:26:17,163,154,,,,,,,
오후 4:26:17,163,154,,,,,,,
오후 4:26:17,,,IN,,,,,,
오후 4:26:23,223,223,,,,,,,
오후 4:26:23,223,223,,,,,,,
오후 4:26:23,223,223,,,,,,,
오후 4:26:23,223,115,,,,,,,
오후 4:26:23,223,223,,,,,,,
오후 4:26:23,223,223,,,,,,,
오후 4:26:23,223,223,,,,,,,
오후 4:26:23,116,222,,,,,,,
오후 4:26:23,116,222,,,,,,,
오후 4:26:23,116,222,,,,,,,
오후 4:26:23,116,222,,,,,,,
오후 4:26:23,110,103,,,,,,,
오후 4:26:23,223,222,,,,,,,
오후 4:26:23,223,222,,,,,,,
오후 4:26:23,223,222,,,,,,,
오후 4:26:23,110,103,,,,,,,
오후 4:26:23,110,103,,,,,,,
오후 4:26:23,110,103,,,,,,,
오후 4:26:23,110,103,,,,,,,
오후 4:26:23,111,110,,,,,,,
오후 4:26:23,111,110,,,,,,,
오후 4:26:23,111,110,,,,,,,
오후 4:26:23,119,113,,,,,,,
오후 4:26:23,119,113,,,,,,,
오후 4:26:23,111,119,,,,,,,
오후 4:26:23,111,119,,,,,,,
오후 4:26:23,123,125,,,,,,,
오후 4:26:23,123,125,,,,,,,
오후 4:26:23,125,131,,,,,,,
오후 4:26:23,125,131,,,,,,,
오후 4:26:23,129,131,,,,,,,
오후 4:26:23,129,131,,,,,,,
오후 4:26:23,132,135,,,,,,,
오후 4:26:23,132,135,,,,,,,
오후 4:26:23,137,139,,,,,,,
오후 4:26:23,137,139,,,,,,,
오후 4:26:23,141,147,,,,,,,
오후 4:26:23,141,147,,,,,,,
오후 4:26:23,145,222,,,,,,,
오후 4:26:24,145,222,,,,,,,
오후 4:26:24,151,223,,,,,,,
오후 4:26:24,151,223,,,,,,,
오후 4:26:24,160,177,,,,,,,
오후 4:26:24,160,177,,,,,,,
오후 4:26:24,167,223,,,,,,,
오후 4:26:24,167,223,,,,,,,
오후 4:26:24,,,OUT,,,,,,
오후 4:26:24,167,223,,,,,,,
오후 4:26:24,167,223,,,,,,,
오후 4:26:24,167,223,,,,,,,
오후 4:26:24,223,110,,,,,,,
오후 4:26:29,225,223,,,,,,,
오후 4:26:29,225,223,,,,,,,
오후 4:26:29,225,223,,,,,,,
오후 4:26:29,148,223,,,,,,,
오후 4:26:29,154,223,,,,,,,
오후 4:26:29,154,223,,,,,,,
오후 4:26:29,154,223,,,,,,,
오후 4:26:29,142,222,,,,,,,
오후 4:26:29,148,223,,,,,,,
오후 4:26:29,148,223,,,,,,,
오후 4:26:29,148,223,,,,,,,
오후 4:26:29,139,223,,,,,,,
오후 4:26:29,139,223,,,,,,,
오후 4:26:29,139,223,,,,,,,
오후 4:26:29,144,223,,,,,,,
오후 4:26:29,144,223,,,,,,,
오후 4:26:29,129,134,,,,,,,
오후 4:26:29,129,134,,,,,,,
오후 4:26:29,128,131,,,,,,,
오후 4:26:29,128,131,,,,,,,
오후 4:26:29,124,132,,,,,,,
오후 4:26:29,124,132,,,,,,,
오후 4:26:29,125,149,,,,,,,
오후 4:26:29,125,149,,,,,,,
오후 4:26:29,124,127,,,,,,,
오후 4:26:29,124,127,,,,,,,
오후 4:26:29,121,125,,,,,,,
오후 4:26:29,121,125,,,,,,,
오후 4:26:29,121,123,,,,,,,
오후 4:26:29,121,123,,,,,,,
오후 4:26:30,119,122,,,,,,,
오후 4:26:30,119,122,,,,,,,
오후 4:26:30,120,121,,,,,,,
오후 4:26:30,120,121,,,,,,,
오후 4:26:30,120,121,,,,,,,
오후 4:26:30,120,121,,,,,,,
오후 4:26:30,122,121,,,,,,,
오후 4:26:30,122,121,,,,,,,
오후 4:26:30,124,123,,,,,,,
오후 4:26:30,124,123,,,,,,,
