 Time, durationA, durationB, comment,,,,,,
오후 4:49:03,103,142,,,,,,,
오후 4:49:03,105,141,,,,,,,
오후 4:49:03,105,141,,,,,,,
오후 4:49:03,104,141,,,,,,,
오후 4:49:03,104,141,,,,,,,
오후 4:49:03,143,143,,,,,,,
오후 4:49:03,143,143,,,,,,,
오후 4:49:03,114,142,,,,,,,
오후 4:49:03,114,142,,,,,,,
오후 4:49:03,119,147,,,,,,,
오후 4:49:03,119,147,,,,,,,
오후 4:49:03,151,148,,,,,,,
오후 4:49:03,151,148,,,,,,,
오후 4:49:03,146,148,,,,,,,
오후 4:49:03,146,148,,,,,,,
오후 4:49:03,149,154,,,,,,,
오후 4:49:03,149,154,,,,,,,
오후 4:49:03,151,151,,,,,,,
오후 4:49:03,151,151,,,,,,,
오후 4:49:03,152,157,,,,,,,
오후 4:49:03,152,157,,,,,,,
오후 4:49:03,153,155,,,,,,,
오후 4:49:04,153,155,,,,,,,
오후 4:49:04,,,OUT,,,,,,
오후 4:49:04,166,175,,,,,,,
오후 4:49:04,166,175,,,,,,,
오후 4:49:04,166,175,,,,,,,
오후 4:49:04,178,133,,,,,,,
오후 4:49:04,170,181,,,,,,,
오후 4:49:04,170,181,,,,,,,
오후 4:49:04,170,181,,,,,,,
오후 4:49:04,179,125,,,,,,,
오후 4:49:04,179,125,,,,,,,
오후 4:49:04,179,125,,,,,,,
오후 4:49:04,179,125,,,,,,,
오후 4:49:04,187,111,,,,,,,
오후 4:49:04,183,188,,,,,,,
오후 4:49:04,183,188,,,,,,,
오후 4:49:04,183,188,,,,,,,
오후 4:49:04,87,79,,,,,,,
오후 4:49:04,187,111,,,,,,,
오후 4:49:04,187,111,,,,,,,
오후 4:49:05,187,111,,,,,,,
오후 4:49:05,81,77,,,,,,,
오후 4:49:05,81,77,,,,,,,
오후 4:49:05,81,77,,,,,,,
오후 4:49:05,95,77,,,,,,,
오후 4:49:05,95,77,,,,,,,
오후 4:49:05,90,81,,,,,,,
오후 4:49:05,90,81,,,,,,,
오후 4:49:05,87,79,,,,,,,
오후 4:49:05,87,79,,,,,,,
오후 4:49:05,87,79,,,,,,,
오후 4:49:05,87,79,,,,,,,
오후 4:49:05,82,78,,,,,,,
오후 4:49:05,82,78,,,,,,,
오후 4:49:05,82,77,,,,,,,
오후 4:49:05,82,77,,,,,,,
오후 4:49:05,80,75,,,,,,,
오후 4:49:05,80,75,,,,,,,
오후 4:49:05,76,74,,,,,,,
오후 4:49:05,76,74,,,,,,,
오후 4:49:05,76,74,,,,,,,
오후 4:49:05,76,74,,,,,,,
오후 4:49:05,74,74,,,,,,,
오후 4:49:05,74,74,,,,,,,
오후 4:49:05,74,77,,,,,,,
오후 4:49:05,74,77,,,,,,,
오후 4:49:05,73,78,,,,,,,
오후 4:49:05,73,78,,,,,,,
오후 4:49:05,78,82,,,,,,,
오후 4:49:05,78,82,,,,,,,
오후 4:49:05,80,87,,,,,,,
오후 4:49:05,80,87,,,,,,,
오후 4:49:05,85,90,,,,,,,
오후 4:49:05,85,90,,,,,,,
오후 4:49:05,88,92,,,,,,,
오후 4:49:05,88,92,,,,,,,
오후 4:49:05,89,94,,,,,,,
오후 4:49:05,89,94,,,,,,,
오후 4:49:05,91,100,,,,,,,
오후 4:49:05,91,100,,,,,,,
오후 4:49:05,94,97,,,,,,,
오후 4:49:06,94,97,,,,,,,
오후 4:49:06,97,121,,,,,,,
오후 4:49:06,97,121,,,,,,,
오후 4:49:06,100,108,,,,,,,
오후 4:49:06,100,108,,,,,,,
오후 4:49:06,107,108,,,,,,,
오후 4:49:06,107,108,,,,,,,
오후 4:49:06,108,222,,,,,,,
오후 4:49:06,108,222,,,,,,,
오후 4:49:06,111,222,,,,,,,
오후 4:49:06,111,222,,,,,,,
오후 4:49:06,115,123,,,,,,,
오후 4:49:06,115,123,,,,,,,
오후 4:49:06,138,222,,,,,,,
오후 4:49:06,138,222,,,,,,,
오후 4:49:06,132,222,,,,,,,
오후 4:49:06,132,222,,,,,,,
오후 4:49:06,145,222,,,,,,,
오후 4:49:06,145,222,,,,,,,
오후 4:49:06,223,223,,,,,,,
오후 4:49:06,223,223,,,,,,,
오후 4:49:06,223,147,,,,,,,
오후 4:49:06,223,147,,,,,,,
오후 4:49:06,144,222,,,,,,,
오후 4:49:06,144,222,,,,,,,
오후 4:49:06,145,222,,,,,,,
오후 4:49:06,145,222,,,,,,,
오후 4:49:06,224,222,,,,,,,
오후 4:49:06,224,222,,,,,,,
오후 4:49:06,224,222,,,,,,,
오후 4:49:06,224,222,,,,,,,
오후 4:49:06,224,222,,,,,,,
오후 4:49:06,224,222,,,,,,,
오후 4:49:13,,,OUT,,,,,,
오후 4:49:13,156,222,,,,,,,
오후 4:49:13,156,222,,,,,,,
오후 4:49:13,156,222,,,,,,,
오후 4:49:13,120,222,,,,,,,
오후 4:49:13,223,222,,,,,,,
오후 4:49:13,223,222,,,,,,,
오후 4:49:13,223,222,,,,,,,
오후 4:49:13,116,222,,,,,,,
오후 4:49:13,120,222,,,,,,,
오후 4:49:13,120,222,,,,,,,
오후 4:49:13,120,222,,,,,,,
오후 4:49:13,111,222,,,,,,,
오후 4:49:13,111,222,,,,,,,
오후 4:49:13,111,222,,,,,,,
오후 4:49:13,108,222,,,,,,,
오후 4:49:13,108,222,,,,,,,
오후 4:49:13,95,120,,,,,,,
오후 4:49:13,95,120,,,,,,,
오후 4:49:13,113,112,,,,,,,
오후 4:49:13,113,112,,,,,,,
오후 4:49:13,113,119,,,,,,,
오후 4:49:13,113,119,,,,,,,
오후 4:49:13,88,114,,,,,,,
오후 4:49:13,88,114,,,,,,,
오후 4:49:13,89,110,,,,,,,
오후 4:49:13,89,110,,,,,,,
오후 4:49:13,89,90,,,,,,,
오후 4:49:13,89,90,,,,,,,
오후 4:49:13,82,87,,,,,,,
오후 4:49:13,82,87,,,,,,,
오후 4:49:13,78,94,,,,,,,
오후 4:49:13,78,94,,,,,,,
오후 4:49:13,78,93,,,,,,,
오후 4:49:13,78,93,,,,,,,
오후 4:49:14,79,91,,,,,,,
오후 4:49:14,79,91,,,,,,,
오후 4:49:14,78,82,,,,,,,
오후 4:49:14,78,82,,,,,,,
오후 4:49:14,77,82,,,,,,,
오후 4:49:14,77,82,,,,,,,
오후 4:49:14,76,78,,,,,,,
오후 4:49:14,76,78,,,,,,,
오후 4:49:14,76,77,,,,,,,
오후 4:49:14,76,77,,,,,,,
오후 4:49:14,78,80,,,,,,,
오후 4:49:14,78,80,,,,,,,
오후 4:49:14,76,79,,,,,,,
오후 4:49:14,76,79,,,,,,,
오후 4:49:14,76,88,,,,,,,
오후 4:49:14,76,88,,,,,,,
오후 4:49:14,75,74,,,,,,,
오후 4:49:14,75,74,,,,,,,
오후 4:49:14,75,74,,,,,,,
오후 4:49:14,75,74,,,,,,,
오후 4:49:14,75,72,,,,,,,
오후 4:49:14,75,72,,,,,,,
오후 4:49:14,84,73,,,,,,,
오후 4:49:14,84,73,,,,,,,
오후 4:49:14,87,77,,,,,,,
오후 4:49:14,87,77,,,,,,,
오후 4:49:14,85,77,,,,,,,
오후 4:49:14,85,77,,,,,,,
오후 4:49:14,93,87,,,,,,,
오후 4:49:14,93,87,,,,,,,
오후 4:49:14,94,86,,,,,,,
오후 4:49:14,94,86,,,,,,,
오후 4:49:14,94,92,,,,,,,
오후 4:49:14,94,92,,,,,,,
오후 4:49:14,97,93,,,,,,,
오후 4:49:14,97,93,,,,,,,
오후 4:49:14,98,93,,,,,,,
오후 4:49:14,98,93,,,,,,,
오후 4:49:14,102,95,,,,,,,
오후 4:49:14,102,95,,,,,,,
오후 4:49:15,106,101,,,,,,,
오후 4:49:15,106,101,,,,,,,
오후 4:49:15,109,102,,,,,,,
오후 4:49:15,109,102,,,,,,,
오후 4:49:15,128,105,,,,,,,
오후 4:49:15,128,105,,,,,,,
오후 4:49:15,118,112,,,,,,,
오후 4:49:15,118,112,,,,,,,
오후 4:49:15,121,123,,,,,,,
오후 4:49:15,121,123,,,,,,,
오후 4:49:15,119,124,,,,,,,
오후 4:49:15,119,124,,,,,,,
오후 4:49:15,119,151,,,,,,,
오후 4:49:15,119,151,,,,,,,
오후 4:49:15,114,135,,,,,,,
오후 4:49:15,114,135,,,,,,,
오후 4:49:15,112,117,,,,,,,
오후 4:49:15,112,117,,,,,,,
오후 4:49:15,111,113,,,,,,,
오후 4:49:15,111,113,,,,,,,
오후 4:49:15,105,126,,,,,,,
오후 4:49:15,105,126,,,,,,,
오후 4:49:15,104,107,,,,,,,
